Density,Numerical_integration,Saddle_point,NNLO
0.0,0j,,
0.05,(7.606959128082827e-09-9.82396405001382e-10j),3.044726729629702e-07,
0.1,(9.224427187055043e-05-1.566998106825456e-05j),0.0018467092941226266,
0.15000000000000002,(0.0026989615154733534-0.0005424831141602641j),0.03602437191080688,
0.2,(0.014984648799762069-0.0034103615491015518j),0.14998647459539335,
0.25,(0.04130106762685096-0.010389548196044233j),0.3306132137145463,
0.30000000000000004,(0.07930945922587096-0.02171788955039147j),0.52879284913894,
0.35000000000000003,(0.1233761850842759-0.036393217382742565j),0.7046052135337243,
0.4,(0.16800536762530668-0.05297626333507023j),0.8388055451193859,
0.45,(0.2092504842535212-0.07012328090642779j),0.927638201002682,
0.5,(0.24483335519294078-0.08679924999406043j),0.9755693732373942,
0.55,(0.2737808463597138-0.10230518027442347j),0.9902206626009438,
0.6000000000000001,(0.29599206779904313-0.1162275926888179j),0.9796021516215211,
0.65,(0.3118828615969906-0.16989827964634288j),0.9508612373193761,
0.7000000000000001,(0.3221342405276254-0.22559515685207138j),0.9098663333251705,
0.75,(0.327529627518533-0.28262426307490124j),0.8611954407837399,
0.8,(0.32885701422282354-0.3406214692980867j),0.8082925018349659,
0.8500000000000001,(0.3268548543770941-0.39948170992833215j),0.7536723212332808,
0.9,(0.32218583443021864-0.4592999980539094j),0.6991196988341244,
0.9500000000000001,(0.31542758679812694-0.520325210183632j),0.6458617081921043,
1.0,(0.3070731653212896-0.5829254963708286j),0.5947080387175905,
1.05,(0.297536736531591-0.6475634700939814j),0.5461613044214397,
1.1,(0.28716169887162474-0.7147792889892624j),0.500501753272975,
1.1500000000000001,(0.27622958198346553-0.7851799617008465j),0.45785126631097245,
1.2000000000000002,(0.2649687954346695-0.8594335192177718j),0.4182211162747951,
1.25,(0.25356274222259545-0.9382669868507396j),0.3815472435711565,
1.3,(0.2421570793171305-1.0224673529644843j),0.34771606771454616,
1.35,(0.230866063528616-1.1128849446955116j),0.3165831923622345,
1.4000000000000001,(0.21977800782568463-1.2104387917576775j),0.28798681405090715,
1.4500000000000002,(0.20895991758864574-1.3161236935533438j),0.2617572076705173,
1.5,(0.19846139544614838-1.431018809392481j),0.23772332155818082,
1.55,(0.1883179078884383-1.5562976733209586j),0.21571725447644405,
1.6,(0.17855350338457499-1.693239599487557j),0.19557718908258329,
1.6500000000000001,(0.16918306423758522-1.8432424956805846j),0.17714920756641042,
1.7000000000000002,(0.1602141652539109-2.007837145220946j),0.160288303346854,
1.75,(0.15164860284667636-2.188703053601548j),0.14485881891461166,
1.8,(0.1434836491717619-2.3876859882772328j),0.13073447695791207,
1.85,(0.13571307767518584-2.606817369517987j),0.11779812426562568,
1.9000000000000001,(0.12832799915272564-2.848335698563201j),0.10594127118001224,
1.9500000000000002,(0.12131754110327445-3.11471023751122j),0.09506347991887167,
2.0,(0.11466939774416718-3.408667184309441j),0.08507162950864523,
2.0500000000000003,(0.1083702734647667-3.733218616605773j),0.07587905955193397,
2.1,(0.10240623862684027-4.091694510719365j),0.06740456416516724,
2.15,(0.09676301337984866-4.4877781771714025j),0.059571161601442456,
2.2,(0.0914261924550384-4.925545492637685j),0.05230448464097653,
2.25,(0.08638142165206115-5.409508350390205j),0.04553047625812998,
2.3000000000000003,(0.08161453486362702-5.944662797837316j),0.03917171694924424,
2.35,(0.07711165893509433-6.536542381233137j),0.03314081218189609,
2.4000000000000004,(0.072859292373799-7.191277274614603j),0.027326664131598476,
2.45,(0.0688443628623517-7.915659833209528j),0.02156019148335381,
2.5,(0.06505426765340945-8.717217281647603j),0.01550043220042067,
2.5500000000000003,(0.06147690019898099-9.60429232510434j),0.007923856173551952,
2.6,(0.05810066576895366-10.586132557861022j),,-138057944.20268765
2.6500000000000004,(0.05491448831927689-11.672989639650034j),,-1499364.240667125
2.7,(0.05190781046254192-12.87622931661609j),,-163644.63206934778
2.75,(0.04907058805680842-14.208453481942858j),,-37158.77254895586
2.8000000000000003,(0.04639328065040705-15.683635602463152j),,-12155.376400034591
2.85,(0.04386683879148018-17.31727098333926j),,-4950.645140314374
2.9000000000000004,(0.04148268902186455-19.12654350476104j),,-2333.7752609165054
2.95,(0.039232717219087034-21.13051064433254j),,-1221.3150580061126
3.0,(0.03710925082184352-23.35030879840813j),,-691.2188909592046
3.0500000000000003,(0.03510504036865883-25.809381137221852j),,-415.7601298525126
3.1,(0.03321324069250557-28.533730474737464j),,-262.54072349581276
3.1500000000000004,(0.03142739204277333-31.552199907365033j),,-172.50801452127155
3.2,(0.029741401347422994-34.89678427907609j),,-117.15947456157008
3.25,(0.028149523780215256-38.6029758673217j),,-81.82132292235805
3.3000000000000003,(0.026646344758732756-42.71014805821591j),,-58.522115477686214
3.35,(0.02522676246699706-47.261981194787815j),,-42.729949746894874
3.4000000000000004,(0.023885970970554025-52.30693524329785j),,-31.765915867047838
3.45,(0.02261944397091949-57.89877443471792j),,-23.991993421420826
3.5,(0.021422919229380614-64.09714960710859j),,-18.376524546276848
3.5500000000000003,(0.020292383676616312-70.96824460603197j),,-14.252547828179162
3.6,(0.019224059213839507-78.58549380127276j),,-11.178738855462964
3.6500000000000004,(0.018214389202682462-87.03037855666359j),,-8.856938309493644
3.7,(0.017260025634439038-96.39331135431074j),,-7.0819019970979955
3.75,(0.016357816964198753-106.77461723448026j),,-5.709931450270337
3.8000000000000003,(0.015504796591586665-118.28562327836876j),,-4.638856635640114
3.85,(0.014698171967017691-131.04986804468555j),,-3.795005469585111
3.9000000000000004,(0.0139353143004018-145.20444418538176j),,-3.1245657923648014
3.95,(0.013213748847931323-160.90148892550823j),,-2.5877629296507325
4.0,(0.01253114575181539-178.3098387129712j),,-2.154874497516306
4.05,(0.011885311407488986-197.61686614389694j),,-1.8034638826761777
4.1000000000000005,(0.011274180332831667-219.03051926798128j),,-1.516434433723002
4.15,(0.010695807514195731-242.78158559782014j),,-1.280644171833821
4.2,(0.010148361204527627-269.1262056109353j),,-1.0859083461381596
4.25,(0.009630116149493466-298.34866327032046j),,-0.9242736356989536
4.3,(0.00913944721827534-330.7644841290178j),,-0.7894847852069189
4.3500000000000005,(0.008674823416533844-366.7238749595129j),,-0.6765890164486684
4.4,(0.008234802259925289-406.6155425974669j),,-0.5816400704519737
4.45,(0.007818024487485267-450.8709338518547j),,-0.5014749742158096
4.5,(0.00742320909513355-499.96894295667846j),,-0.4335443623760578
4.55,(0.007049148670501821-554.4411381731218j),,-0.37578256653794667
4.6000000000000005,(0.006694705011225154-614.8775648524461j),,-0.32650746737299796
4.65,(0.0063588050097631195-681.9331886014623j),,-0.28434278786846445
4.7,(0.006040436788718925-756.3350492240809j),,-0.24815742683926753
4.75,(0.005738646071500329-838.8902039211929j),,-0.217017818408019
4.800000000000001,(0.00545253277401383-930.4945469036464j),,-0.19015031225973716
4.8500000000000005,(0.005181247803894861-1032.1426022040257j),,-0.16691130949956026
4.9,(0.0049239900545579186-1144.9383971692628j),,-0.14676343560148034
4.95,(0.004680003582093541-1270.1075359948038j),,-0.12925643856872868
5.0,(0.0044485749537485665-1409.010605853671j),,-0.11401180490702373
5.050000000000001,(0.00422903075739977-1563.1580628249624j),,-0.10071031544648001
5.1000000000000005,(0.004020735262069694-1734.226761098182j),,-0.08908193697937719
5.15,(0.0038230882201385507-1924.0783070015236j),,-0.07889757829913392
5.2,(0.003635522802478096-2134.7794394712446j),,-0.06996234090383978
5.25,(0.0034575036582729854-2368.6246608711504j),,-0.06210997299769068
5.300000000000001,(0.003288525091804173-2628.1613668246596j),,-0.05519829613609399
5.3500000000000005,(0.0031281093489489-2916.2177512183466j),,-0.049105421123217814
5.4,(0.0029758050066024475-3235.933793068946j),,-0.04372660673639235
5.45,(0.00283118545865175-3590.795665861584j),,-0.03897164389396207
5.5,(0.002693847492529636-3984.6739476310518j),,-0.03476267079927358
5.550000000000001,(0.0025634099507528-4421.866051891378j),,-0.0310323427512324
5.6000000000000005,(0.0024395124721986253-4907.143345979545j),,-0.027722294757173076
5.65,(0.002321814308205295-5445.803474981789j),,-0.024781846620256624
5.7,(0.0022099932088894135-6043.7284667211725j),,-0.022166909421453537
5.75,(0.0021037443753651403-6707.449256939848j),,-0.019839059756165053
5.800000000000001,(0.002002779473820484-7444.217344504974j),,-0.01776475409196632
5.8500000000000005,(0.0019068257076615748-8262.084364989032j),,-0.015914660479375634
5.9,(0.0018156249441736616-9169.99045818342j),,-0.014263088801547766
5.95,(0.00172893289237128-10177.862401967926j),,-0.012787503972214693
6.0,(0.0016465183289195093-11296.72259253788j),,-0.011468109127043262
6.050000000000001,(0.0015681623692035465-12538.810070480897j),,-0.010287488015316789
6.1000000000000005,(0.0014936577808078095-13917.71492490738j),,-0.009230297576818038
6.15,(0.001422808336836958-15448.527555242383j),,-0.008283003155175519
6.2,(0.001355428206672405-17148.00443400553j),,-0.007433650011585601
6.25,(0.0012913413819079754-19034.75219574451j),,-0.006671665808254724
6.300000000000001,(0.001230381135349291-21129.432079262107j),,-0.005987689566637479
6.3500000000000005,(0.001172389511093456-23454.986974600837j),,-0.005373423301921843
6.4,(0.00111721684382867-26036.893575412767j),,-0.004821503116853233
6.45,(0.0010647213056092337-28903.442414089273j),,-0.004325387024922083
6.5,(0.0010147684784693406-32086.048864408447j),,-0.0038792571815020314
6.550000000000001,(0.0009672309513402455-35619.59853787212j),,-0.0034779345450816064
6.6000000000000005,(0.0009219879398304213-39542.83087912522j),,-0.0031168042802379213
6.65,(0.0008789249275167459-43898.76518705065j),,-0.0027917504584646386
6.7,(0.0008379333274781117-48735.17375596821j),,-0.002499098819811299
6.75,(0.0007989101628804584-54105.107351016144j),,-0.00223556653364865
6.800000000000001,(0.0007617577654953228-60067.47880897395j),,-0.001998218045821236
6.8500000000000005,(0.0007263834911020821-66687.71119686704j),,-0.0017844262261977996
6.9,(0.0006926994507881165-74038.45767279681j),,-0.0015918381386837814
6.95,(0.0006606222572210416-82200.4009843718j),,-0.0014183448480398874
7.0,(0.0006300727850232256-91263.14141864372j),,-0.0012620547567932284
7.050000000000001,(0.000600975944431509-101326.18299327759j),,-0.001121270033174285
7.1000000000000005,(0.0005732604674742693-112500.02876258199j),,-0.0009944657490750524
7.15,(0.0005468587059442782-124907.3973159521j),,-0.0008802713969378377
7.2,(0.000521706440489043-138684.5738835473j),,-0.000777454497461385
7.25,(0.000497742700181033-153982.9109494181j),,-0.0006849060470708831
